CT1	CT2	CT3	RAS1	RAS2	RAS3
ENSG00000000003	745.372001358965	765.181522490849	626.037042071319	617.580599778224	667.626395562912	758.5685400824
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	636.690786093988	573.409096031172	607.441882405834	517.601278397601	505.202280370671	505.342146028539
ENSG00000000457	171.172914042338	155.516942850385	136.364504213555	132.264310576449	169.807029519161	232.124194549373
ENSG00000000460	187.475096332085	129.756467654309	115.998376960881	63.5285271272709	98.0872903433661	111.06420791836
ENSG00000000938	0	0	0	0	0	0
ENSG00000000971	1012.54665555203	960.770315646241	1140.50312614973	517.601278397601	521.022811071214	474.244167811398
ENSG00000001036	3785.72899839669	3709.50842823494	3750.90934966634	3701.31779361182	3924.54631578135	3651.79115635568
ENSG00000001084	756.240122885463	646.874154923685	911.162823608751	541.554657478375	483.053537389911	440.92490543589
ENSG00000001167	340.534474496927	358.738469397206	363.048355373749	718.601372423228	687.665734450266	607.52121731343
ENSG00000001460	385.818314190667	399.764411376142	395.811255736746	307.22812299254	280.550744422961	278.771161875084
ENSG00000001461	3134.5473836007	3319.28493359808	2978.76748165193	1412.2079145013	1353.18272591977	1423.84314551338
ENSG00000001497	563.330965790129	613.480946336179	653.487039672749	556.134975179716	567.42970112614	625.291490580368
ENSG00000001561	15.3965054958717	13.3572834350024	14.1677406975122	8.33161011505192	0	4.44256831673441
ENSG00000001617	1833.99550759648	1818.49873050818	1743.51758958759	3362.84613268783	3660.87080410563	3516.29282269528
ENSG00000001626	0	26.7145668700047	18.5951596654847	183.295422531142	145.548882444995	172.149522273458
ENSG00000001629	763.485537236461	712.706480424768	733.180581096254	457.197105063474	533.679235631648	556.431681670985
ENSG00000001630	66.1144059528608	34.3473002614346	62.8693493452102	44.7824043684041	30.586359354383	37.7618306922425
ENSG00000001631	235.47596640745	250.926110243258	215.172561843466	124.974151725779	152.931796771915	115.506776235095
ENSG00000002016	101.435800913978	71.5568755446555	110.685474199314	42.6995018396411	95.9778862499604	103.289713364075
ENSG00000002079	5.43406076324883	3.81636669571496	7.08387034875608	29.1606354026817	15.8205307005429	11.106420791836
ENSG00000002330	1507.95186180155	1382.47883552274	1403.4918128473	1950.63821818653	2113.62290159254	2020.25794203497
ENSG00000002549	1066.88726318452	1215.51279258521	1167.06763995756	1397.62759679996	1279.35358265057	1449.3879133346
ENSG00000002586	10907.9713054282	10783.1440987426	10824.1538928993	7285.99304561291	7552.72135643919	7539.03843349829
ENSG00000002587	0.905676793874806	0	0	0	0	0
ENSG00000002726	0	0	0	0	0	0
ENSG00000002745	1539.65054958717	1557.0776118517	1561.10792810712	1158.09380599222	1271.97066832365	1073.99089057054
ENSG00000002746	157.587762134216	153.608759502527	120.425795928853	104.145126438149	65.3915268955774	107.732281680809
ENSG00000002822	669.295150673481	845.325223100863	719.898324192337	1142.4720370265	1101.10893675779	1103.9782267085
ENSG00000002834	23538.5398728062	23606.1361963449	23827.4834018347	16834.0182374624	15692.9117528919	16830.6700679483
ENSG00000002919	905.676793874806	743.237413990488	871.316052896998	962.300968288497	996.693434134204	1012.90557621545
ENSG00000002933	52.5292540447387	48.6586753703657	83.235476597884	18.7461227588668	23.203445027463	42.2043990089769
ENSG00000003056	1732.5597066825	1678.24725444065	1800.18855237764	2436.99595865269	2302.41456795235	2605.56631776473
ENSG00000003096	0	1.90818334785748	0	0	0	0
ENSG00000003137	0.905676793874806	3.81636669571496	16.8241920782957	654.031394031576	684.501628310157	564.20617622527
ENSG00000003147	0	0	0	0	0	0
ENSG00000003249	804.240992960827	802.39109777407	912.048307402345	1609.0422034694	1566.23253935375	1550.45634254031
ENSG00000003393	550.651490675882	531.429062378308	549.885435822191	369.715198855429	415.552606400928	404.273716822831
ENSG00000003400	2.71703038162442	0	0	0	2.10940409340572	0
ENSG00000003402	1574.06626775441	1429.22932754525	1608.03856916763	1807.95939496627	1685.41387063117	1780.35925293131
ENSG00000003436	2094.83042423243	1800.37098870353	2000.30788973	1580.9230193311	1639.00698057625	1682.62274996316
ENSG00000003509	205.588632209581	243.293376851829	207.203207701115	249.948303451558	386.020949093247	402.052432664464
ENSG00000003756	854.958893417817	1160.17547549735	921.788629131885	1048.74142323216	1040.99092009572	940.713841068511
ENSG00000003987	4.52838396937403	16.2195584567886	2.65645138078353	0	16.8752327472458	5.55321039591801
ENSG00000003989	152.153701370967	145.021934437168	139.906439387933	129.139956783305	200.393388873544	89.9620084138718
ENSG00000004059	1637.46364332565	1639.12949580957	1861.28693413566	1782.96456462111	1803.54049986189	2004.7089529264
ENSG00000004139	288.005220452188	432.203528289719	341.796744327481	375.963906441718	452.467178035528	385.39280147671
ENSG00000004142	3706.93511732958	3407.06136759953	3371.92228600789	4585.5099170717	4325.33309352844	4407.02777020053
ENSG00000004399	2010.60248240207	2088.50667423001	1810.81435790077	3764.84632073909	3378.21065558927	3330.81559547162
ENSG00000004455	2178.15268926891	2098.0475909693	2137.55787773715	2644.2447602646	2450.07285449075	2547.81292964718
ENSG00000004468	0	0.954091673928739	0	0	0	0
ENSG00000004478	1737.99376744575	1873.83604759604	1948.94982970152	3600.29702096681	3360.28072079532	3416.33503556876
ENSG00000004487	1249.83397554723	1132.50681695341	1254.73053552342	1717.35313496508	1310.99464405166	1307.2257271991
ENSG00000004534	608.61480548387	581.995921096531	567.595111694081	565.508036559149	562.156190892625	560.874249987719
ENSG00000004660	161.210469309715	122.123734262879	111.570957992908	126.01560299016	166.642923379052	96.6258608889734
ENSG00000004700	1525.15972088517	1269.89601799915	1371.6143962779	791.502960929933	887.004421277107	791.887802457908
ENSG00000004766	296.156311597062	322.482985787914	306.3773925837	181.212520002379	135.001861977966	98.8471450473406
ENSG00000004776	5640.55507225229	6359.02100673505	5711.37046868459	3159.76313613344	3538.5253666881	3599.59097863405
ENSG00000004777	77.8882042732333	112.582817523591	60.2128979644267	39.5751480464966	53.7898043818459	36.6511886130589
ENSG00000004779	1275.19292577573	1419.68841080596	1502.66599772988	1214.33217426882	1395.37080778789	1468.26882868072
ENSG00000004799	1.81135358774961	0	0	0	0	0
ENSG00000004809	0	0	0	0	0	0
