	Y	2673885	0	0.5	53
	Y	2674087	1	0.5	52
	Y	2772255	0	0.5	50
	Y	2772434	1	0.5	53
	Y	2786953	0	0.5	52
	Y	2787077	1	0.5	52
	Y	2792842	0	0.5	53
	Y	2793059	1	0.5	53
	Y	2866114	0	0.5	53
	Y	2866251	1	0.5	53
	Y	2866295	0	2.0	53
	Y	2866479	1	2.0	53
	Y	2866507	0	1.0	53
	Y	2866519	0	0.5	53
	Y	2866569	0	0.5	53
	Y	2866663	1	0.5	53
	Y	2866737	1	1.0	53
	Y	2866795	1	0.5	53
	Y	2896050	0	0.5	52
	Y	2896152	1	0.5	53
	Y	2896457	0	1.0	53
	Y	2896654	1	1.0	53
	Y	2896734	0	0.5	51
	Y	2896746	0	0.5	53
	Y	2896949	1	0.5	52
	Y	2896953	1	0.5	51
	Y	2897230	0	0.5	53
	Y	2897477	1	0.5	51
	Y	2899410	0	0.5	53
	Y	2899497	1	0.5	52
	Y	2900455	0	0.5	51
	Y	2900479	0	0.5	53
	Y	2900654	1	0.5	52
	Y	2900668	1	0.5	53
	Y	2921114	0	0.5	53
	Y	2921284	1	0.5	53
	Y	2921815	0	1.5	53
	Y	2922052	1	1.5	51
	Y	2924228	0	0.5	53
	Y	2924473	1	0.5	53
	Y	2927823	0	1.0	53
	Y	2927928	1	1.0	53
	Y	2930014	0	0.5	53
	Y	2930220	1	0.5	53
	Y	2933325	0	0.5	53
	Y	2933504	1	0.5	52
	Y	2933822	0	0.5	53
	Y	2934035	1	0.5	52
	Y	2934157	0	0.5	53
	Y	2934166	0	0.5	52
	Y	2934345	1	0.5	53
	Y	2934396	1	0.5	52
	Y	2935699	0	0.5	53
	Y	2935916	1	0.5	52
	Y	2936857	0	1.5	53
	Y	2937095	1	1.5	52
	Y	2938175	0	0.5	53
	Y	2938341	1	0.5	53
	Y	2944586	0	0.5	53
	Y	2944817	1	0.5	52
	Y	2950027	0	0.5	52
	Y	2950247	1	0.5	53
	Y	2954422	0	0.5	53
	Y	2954633	1	0.5	53
	Y	2956046	0	0.5	52
	Y	2956271	1	0.5	52
	Y	2956288	0	0.5	52
	Y	2956456	1	0.5	53
	Y	2958457	0	0.5	53
	Y	2958664	1	0.5	51
	Y	2961535	0	0.5	51
	Y	2961659	1	0.5	52
	Y	2964906	0	0.5	52
	Y	2965050	1	0.5	53
	Y	2965194	0	0.5	53
	Y	2965388	1	0.5	53
	Y	2966814	0	1.5	53
	Y	2966983	1	1.5	53
	Y	2969742	0	0.5	52
	Y	2969954	1	0.5	53
	Y	2976045	0	0.5	53
	Y	2976277	1	0.5	53
	Y	2983377	0	1.5	53
	Y	2983615	1	1.5	53
	Y	2983901	0	1.0	50
	Y	2984082	1	1.0	53
	Y	2986713	0	1.0	50
	Y	2986944	1	1.0	52
	Y	2987568	0	1.5	52
	Y	2987780	1	1.5	52
	Y	2989393	0	0.5	52
	Y	2989565	0	0.5	52
	Y	2989642	1	0.5	53
	Y	2989789	1	0.5	53
	Y	2989946	0	0.5	51
	Y	2990046	1	0.5	53
	Y	2991960	0	0.5	53
	Y	2992110	1	0.5	53
	Y	2996222	0	1.0	52
	Y	2996456	1	1.0	52
	Y	2996823	0	1.0	53
	Y	2997044	1	1.0	52
	Y	2999161	0	0.5	49
	Y	2999333	1	0.5	53
	Y	3001857	0	0.5	53
	Y	3002036	1	0.5	52
	Y	3002129	0	0.5	52
	Y	3002312	1	0.5	53
	Y	3005584	0	0.5	52
	Y	3005815	1	0.5	52
	Y	3013166	0	1.0	51
	Y	3013289	1	1.0	53
	Y	3013874	0	0.5	53
	Y	3013879	0	1.0	53
	Y	3014088	1	1.0	52
	Y	3014111	1	0.5	53
	Y	3015522	0	0.5	52
	Y	3015770	1	0.5	53
	Y	3017653	0	0.5	53
	Y	3017886	1	0.5	52
	Y	3022373	0	0.5	53
	Y	3022613	1	0.5	53
	Y	3023365	0	0.5	53
	Y	3023534	1	0.5	52
	Y	3024936	0	0.5	52
	Y	3025152	1	0.5	52
	Y	3026199	0	0.5	52
	Y	3026439	1	0.5	53
	Y	3029223	0	0.5	53
	Y	3029276	0	0.5	53
	Y	3029414	1	0.5	52
	Y	3029426	1	0.5	53
	Y	3030361	0	0.5	53
	Y	3030560	1	0.5	52
	Y	3030657	0	0.5	52
	Y	3030856	1	0.5	52
	Y	3032030	0	1.0	53
	Y	3032225	1	1.0	53
	Y	3033967	0	0.5	52
	Y	3034117	1	0.5	53
	Y	3037935	0	0.5	53
	Y	3038124	1	0.5	53
	Y	3038917	0	0.5	53
	Y	3039126	1	0.5	52
	Y	3039420	0	0.5	51
	Y	3039553	1	0.5	53
	Y	3039826	0	1.0	53
	Y	3040051	1	1.0	53
	Y	3040115	0	0.5	53
	Y	3040340	1	0.5	53
	Y	3042806	0	0.5	52
	Y	3042897	1	0.5	52
	Y	3043283	0	0.5	52
	Y	3043475	1	0.5	52
	Y	3048765	0	0.5	53
	Y	3048959	1	0.5	53
	Y	3049349	0	0.5	53
	Y	3049461	1	0.5	53
	Y	3050897	0	1.0	52
	Y	3051083	1	1.0	52
	Y	3056173	0	0.5	53
	Y	3056222	0	0.5	53
	Y	3056382	1	0.5	53
	Y	3056396	1	0.5	51
	Y	3056649	0	0.5	52
	Y	3056834	1	0.5	53
	Y	3057101	0	1.0	52
	Y	3057321	1	1.0	52
	Y	3057430	0	0.5	51
	Y	3057541	1	0.5	53
	Y	3059473	0	0.5	52
	Y	3059584	1	0.5	53
	Y	3063237	0	1.5	53
	Y	3063395	1	1.5	53
	Y	3063680	0	1.0	52
	Y	3063901	1	1.0	53
	Y	3064584	0	0.5	52
	Y	3064787	1	0.5	52
	Y	3066400	0	2.0	51
	Y	3066585	1	2.0	52
	Y	3067602	0	1.0	52
	Y	3067739	1	1.0	52
	Y	3069496	0	0.5	52
	Y	3069641	1	0.5	51
	Y	3070118	0	0.5	52
	Y	3070278	1	0.5	53
	Y	3070602	0	0.5	53
	Y	3070779	1	0.5	52
	Y	3071511	0	0.5	53
	Y	3071712	1	0.5	53
	Y	3072013	0	0.5	52
	Y	3072208	1	0.5	53
	Y	3075017	0	0.5	52
	Y	3075215	1	0.5	52
	Y	3075865	0	0.5	52
	Y	3076007	1	0.5	53
	Y	3076573	0	1.0	53
	Y	3076790	1	1.0	53
	Y	3077014	0	0.5	53
	Y	3077139	1	0.5	53
	Y	3077473	0	1.0	51
	Y	3077559	1	1.0	52
	Y	3080674	0	0.5	52
	Y	3080715	0	0.5	53
	Y	3080775	1	0.5	52
	Y	3080925	1	0.5	53
	Y	3081305	0	1.0	53
	Y	3081545	1	1.0	53
	Y	3082523	0	0.5	52
	Y	3082689	1	0.5	53
	Y	3083548	0	0.5	53
	Y	3083667	1	0.5	52
	Y	3084990	0	0.5	51
	Y	3085016	0	1.0	53
	Y	3085133	1	0.5	50
	Y	3085143	1	1.0	52
	Y	3086946	0	0.5	53
	Y	3087195	1	0.5	52
	Y	3087571	0	0.5	53
	Y	3087757	1	0.5	52
	Y	3088814	0	0.5	52
	Y	3088970	1	0.5	53
	Y	3089041	0	0.5	52
	Y	3089245	1	0.5	53
	Y	3090022	0	0.5	52
	Y	3090204	1	0.5	52
	Y	3090472	0	0.5	53
	Y	3090609	1	0.5	53
	Y	3092854	0	1.5	53
	Y	3092995	1	1.5	52
	Y	3098210	0	1.0	52
	Y	3098361	1	1.0	49
	Y	3099085	0	1.5	52
	Y	3099140	0	0.5	53
	Y	3099203	0	0.5	53
	Y	3099223	1	1.5	52
	Y	3099382	1	0.5	53
	Y	3099387	0	0.5	53
	Y	3099403	1	0.5	53
	Y	3099455	0	1.5	53
	Y	3099595	1	0.5	53
	Y	3099606	1	1.5	53
	Y	3100482	0	1.0	50
	Y	3100486	0	0.5	50
	Y	3100565	0	1.0	53
	Y	3100639	1	1.0	51
	Y	3100674	1	0.5	52
	Y	3100746	1	1.0	52
	Y	3100755	0	0.5	53
	Y	3100982	1	0.5	53
	Y	3102563	0	0.5	50
	Y	3102586	0	0.5	53
	Y	3102711	1	0.5	50
	Y	3102721	1	0.5	53
	Y	3103544	0	0.5	53
	Y	3103789	1	0.5	53
	Y	3105142	0	0.5	52
	Y	3105291	1	0.5	50
	Y	3105878	0	0.5	53
	Y	3106060	1	0.5	52
	Y	3107640	0	0.5	52
	Y	3107815	0	0.5	53
	Y	3107859	1	0.5	53
	Y	3107999	1	0.5	53
	Y	3109573	0	0.5	50
	Y	3109616	0	0.5	52
	Y	3109625	0	0.5	52
	Y	3109723	1	0.5	53
	Y	3109793	1	0.5	52
	Y	3109810	1	0.5	53
	Y	3109959	0	0.5	53
	Y	3110072	0	0.5	53
	Y	3110181	1	0.5	51
	Y	3110288	1	0.5	50
	Y	3110631	0	1.0	53
	Y	3110747	0	0.5	53
	Y	3110841	1	1.0	53
	Y	3110871	0	0.5	53
	Y	3110972	1	0.5	53
	Y	3111111	1	0.5	53
	Y	3114108	0	0.5	53
	Y	3114247	1	0.5	53
	Y	3114499	0	0.5	53
	Y	3114707	1	0.5	53
	Y	3117779	0	0.5	53
	Y	3117793	0	0.5	53
	Y	3117899	1	0.5	53
	Y	3117939	1	0.5	53
	Y	3121988	0	0.5	52
