Distance in bp(Fragment Length Estimate: 189)(Peak Width Estimate: 189)	Same Strand (+ for Watson strand, - for Crick)	Opposite Strand
-2000	114463.0	113936.0
-1999	114415.0	113446.0
-1998	114377.0	113407.0
-1997	114607.0	113525.0
-1996	114393.0	113794.0
-1995	114558.0	113627.0
-1994	114861.0	113779.0
-1993	114517.0	112937.0
-1992	114663.0	113333.0
-1991	114321.0	113539.0
-1990	114441.0	113474.0
-1989	114551.0	113577.0
-1988	114865.0	113225.0
-1987	114454.0	114411.0
-1986	114466.0	113664.0
-1985	114549.0	114004.0
-1984	114928.0	113506.0
-1983	114573.0	113431.0
-1982	114566.0	113712.0
-1981	114319.0	113183.0
-1980	113988.0	113334.0
-1979	114389.0	113676.0
-1978	114283.0	113700.0
-1977	114712.0	113711.0
-1976	114334.0	113510.0
-1975	114711.0	113191.0
-1974	114926.0	113154.0
-1973	114729.0	113905.0
-1972	114176.0	114252.0
-1971	114687.0	113711.0
-1970	114351.0	113960.0
-1969	114737.0	114347.0
-1968	114863.0	113277.0
-1967	114538.0	114253.0
-1966	114883.0	114146.0
-1965	114850.0	113836.0
-1964	114428.0	113742.0
-1963	115050.0	113830.0
-1962	114018.0	113744.0
-1961	114828.0	113332.0
-1960	114681.0	113998.0
-1959	114927.0	114046.0
-1958	114539.0	113594.0
-1957	114923.0	113731.0
-1956	114990.0	113984.0
-1955	115143.0	113797.0
-1954	114980.0	113703.0
-1953	114663.0	113571.0
-1952	114786.0	114754.0
-1951	115302.0	113877.0
-1950	115367.0	113420.0
-1949	114586.0	113618.0
-1948	114607.0	114642.0
-1947	114432.0	113493.0
-1946	114811.0	114003.0
-1945	114535.0	114019.0
-1944	114721.0	113874.0
-1943	114578.0	114172.0
-1942	114660.0	113841.0
-1941	114897.0	113723.0
-1940	114673.0	113799.0
-1939	114572.0	114210.0
-1938	114663.0	114293.0
-1937	114931.0	114072.0
-1936	115306.0	114108.0
-1935	114692.0	113801.0
-1934	115169.0	114432.0
-1933	114556.0	113915.0
-1932	114805.0	113503.0
-1931	114818.0	113680.0
-1930	115143.0	113185.0
-1929	114752.0	113911.0
-1928	114655.0	114013.0
-1927	114046.0	113817.0
-1926	114982.0	113268.0
-1925	114753.0	113694.0
-1924	114527.0	113713.0
-1923	114739.0	113669.0
-1922	114544.0	114044.0
-1921	114898.0	113639.0
-1920	114692.0	113504.0
-1919	115347.0	114429.0
-1918	115544.0	114203.0
-1917	114299.0	114042.0
-1916	115517.0	114276.0
-1915	114874.0	114316.0
-1914	115090.0	114261.0
-1913	115083.0	113820.0
-1912	114494.0	114505.0
-1911	114720.0	114354.0
-1910	114177.0	114058.0
-1909	115187.0	113513.0
-1908	114849.0	115195.0
-1907	115089.0	114398.0
-1906	114512.0	114142.0
-1905	115277.0	114552.0
-1904	114613.0	114255.0
-1903	114025.0	114147.0
-1902	114893.0	113928.0
-1901	115162.0	114102.0
-1900	115212.0	114767.0
-1899	115003.0	114160.0
-1898	114841.0	114278.0
-1897	114937.0	114021.0
-1896	114767.0	114139.0
-1895	114818.0	114250.0
-1894	114792.0	114444.0
-1893	114894.0	114190.0
-1892	115183.0	114311.0
-1891	114665.0	113967.0
-1890	115026.0	114324.0
-1889	114476.0	114217.0
-1888	115630.0	115029.0
-1887	114957.0	114076.0
-1886	115092.0	113955.0
-1885	114513.0	114427.0
-1884	114517.0	114492.0
-1883	114870.0	114482.0
-1882	114801.0	113586.0
-1881	114622.0	114089.0
-1880	115265.0	114799.0
-1879	115261.0	113997.0
-1878	114294.0	114573.0
-1877	115105.0	113586.0
-1876	115435.0	114938.0
-1875	115244.0	113607.0
-1874	114998.0	114650.0
-1873	114794.0	113929.0
-1872	114672.0	114149.0
-1871	114833.0	114971.0
-1870	114466.0	114124.0
-1869	114882.0	114335.0
-1868	115384.0	114045.0
-1867	115039.0	113946.0
-1866	115057.0	114485.0
-1865	114937.0	114432.0
-1864	115156.0	114694.0
-1863	115081.0	113821.0
-1862	115049.0	114038.0
-1861	115395.0	114498.0
-1860	115435.0	113883.0
-1859	115091.0	114675.0
-1858	114994.0	114434.0
-1857	115079.0	114312.0
-1856	115563.0	114968.0
-1855	115401.0	114473.0
-1854	115399.0	113842.0
-1853	114988.0	114588.0
-1852	114775.0	113877.0
-1851	115328.0	114813.0
-1850	115703.0	114298.0
-1849	115830.0	114271.0
-1848	115302.0	114168.0
-1847	115400.0	113915.0
-1846	114896.0	113950.0
-1845	115655.0	114422.0
-1844	115248.0	114057.0
-1843	114920.0	114359.0
-1842	115258.0	114561.0
-1841	115112.0	114289.0
-1840	115200.0	113985.0
-1839	115665.0	115005.0
-1838	115173.0	114464.0
-1837	115051.0	114230.0
-1836	115709.0	114350.0
-1835	115710.0	114279.0
-1834	115029.0	114422.0
-1833	115349.0	115273.0
-1832	115392.0	115023.0
-1831	115413.0	114932.0
-1830	115187.0	114042.0
-1829	115382.0	114864.0
-1828	115495.0	115474.0
-1827	115508.0	114429.0
-1826	115499.0	114621.0
-1825	115227.0	114783.0
-1824	114977.0	114573.0
-1823	116112.0	114021.0
-1822	115544.0	114701.0
-1821	115294.0	114743.0
-1820	115273.0	114700.0
-1819	115827.0	114435.0
-1818	115253.0	114798.0
-1817	115729.0	115013.0
-1816	115296.0	114803.0
-1815	115707.0	114202.0
-1814	115281.0	114718.0
-1813	115487.0	114366.0
-1812	115668.0	114894.0
-1811	115158.0	114524.0
-1810	115821.0	114490.0
-1809	115397.0	114957.0
-1808	115324.0	114160.0
-1807	115120.0	114373.0
-1806	115396.0	114402.0
-1805	114896.0	114461.0
-1804	115522.0	114747.0
-1803	115938.0	114224.0
-1802	116168.0	114547.0
-1801	115065.0	114447.0
-1800	115578.0	114475.0
-1799	115387.0	115059.0
-1798	115357.0	115119.0
-1797	115478.0	114645.0
-1796	115544.0	113655.0
-1795	115341.0	114850.0
-1794	116270.0	115000.0
-1793	115900.0	114447.0
-1792	115232.0	115116.0
-1791	115759.0	115598.0
-1790	115626.0	114330.0
-1789	115506.0	115007.0
-1788	115321.0	114133.0
-1787	115494.0	114754.0
-1786	115705.0	114546.0
-1785	115256.0	115014.0
-1784	115585.0	114577.0
-1783	114947.0	114973.0
-1782	115950.0	115470.0
-1781	115818.0	114424.0
-1780	115902.0	114677.0
-1779	115674.0	114420.0
-1778	115518.0	115098.0
-1777	115618.0	114410.0
-1776	115225.0	114661.0
-1775	115061.0	114397.0
-1774	115065.0	114874.0
-1773	115844.0	114897.0
-1772	115705.0	115538.0
-1771	116031.0	114694.0
-1770	114874.0	114605.0
-1769	115772.0	114555.0
-1768	115538.0	114933.0
-1767	115791.0	114542.0
-1766	115477.0	114610.0
-1765	115451.0	114151.0
-1764	115834.0	115376.0
-1763	116000.0	115056.0
-1762	115266.0	115197.0
-1761	115686.0	115132.0
-1760	115720.0	115019.0
-1759	115797.0	115164.0
-1758	116392.0	114959.0
-1757	115544.0	115093.0
-1756	115592.0	115121.0
-1755	115490.0	115014.0
-1754	114810.0	115262.0
-1753	115678.0	114869.0
-1752	115951.0	115422.0
-1751	115470.0	115131.0
-1750	115427.0	115108.0
-1749	115793.0	115041.0
-1748	115713.0	115336.0
-1747	115991.0	114528.0
-1746	115705.0	114921.0
-1745	115769.0	114770.0
-1744	115882.0	115263.0
-1743	115864.0	114971.0
-1742	115820.0	115526.0
-1741	115376.0	115446.0
-1740	115484.0	114689.0
-1739	115216.0	114655.0
-1738	115616.0	114712.0
-1737	115773.0	114953.0
-1736	116651.0	115395.0
-1735	115536.0	115570.0
-1734	116019.0	115599.0
-1733	115733.0	115489.0
-1732	115688.0	115033.0
-1731	115544.0	114525.0
-1730	115811.0	114336.0
-1729	116235.0	114790.0
-1728	115935.0	115029.0
-1727	116139.0	114880.0
-1726	115787.0	115601.0
-1725	115938.0	114944.0
-1724	115979.0	115619.0
-1723	115679.0	115071.0
-1722	116503.0	114812.0
-1721	116364.0	114625.0
-1720	116129.0	114223.0
-1719	116482.0	115081.0
-1718	115341.0	115084.0
-1717	115906.0	114902.0
-1716	116012.0	115025.0
-1715	116855.0	115230.0
-1714	116289.0	114937.0
-1713	115891.0	115289.0
-1712	115820.0	114834.0
-1711	116050.0	114931.0
-1710	115660.0	115239.0
-1709	116076.0	115483.0
-1708	116266.0	114564.0
-1707	116229.0	115943.0
-1706	116009.0	114998.0
-1705	116254.0	115260.0
-1704	115907.0	114817.0
-1703	116155.0	115411.0
-1702	115668.0	116040.0
-1701	116068.0	115454.0
-1700	115540.0	114975.0
-1699	115754.0	114919.0
-1698	116168.0	114603.0
-1697	115896.0	115265.0
-1696	116614.0	115683.0
-1695	116976.0	115217.0
-1694	116249.0	114933.0
-1693	116365.0	114853.0
-1692	115415.0	115272.0
-1691	116298.0	115277.0
-1690	116155.0	114974.0
-1689	116194.0	115041.0
-1688	116313.0	115317.0
-1687	115941.0	115416.0
-1686	116559.0	114893.0
-1685	116037.0	115240.0
-1684	116224.0	115331.0
-1683	115722.0	115230.0
-1682	116919.0	115798.0
-1681	115887.0	115134.0
-1680	116300.0	114757.0
-1679	115812.0	115033.0
-1678	116224.0	114959.0
-1677	116533.0	114910.0
-1676	116518.0	115346.0
-1675	116367.0	115800.0
-1674	116727.0	115360.0
-1673	116719.0	115727.0
-1672	116483.0	115039.0
-1671	116817.0	115793.0
-1670	116100.0	115262.0
-1669	116606.0	115023.0
-1668	116579.0	115239.0
-1667	116045.0	115403.0
-1666	116650.0	114950.0
-1665	116427.0	115191.0
-1664	116036.0	115013.0
-1663	116229.0	115647.0
-1662	116092.0	114873.0
-1661	116687.0	115862.0
-1660	116595.0	115166.0
-1659	116382.0	115247.0
-1658	116360.0	115395.0
-1657	116318.0	115439.0
-1656	116621.0	114903.0
-1655	116451.0	115518.0
-1654	116131.0	115398.0
-1653	116129.0	115107.0
-1652	116407.0	115637.0
-1651	117121.0	115632.0
-1650	116652.0	115349.0
-1649	116255.0	115183.0
-1648	116105.0	115006.0
-1647	117035.0	115146.0
-1646	117002.0	116050.0
-1645	116880.0	115944.0
-1644	116799.0	115551.0
-1643	116032.0	115884.0
-1642	117176.0	115579.0
-1641	116230.0	115746.0
-1640	116050.0	115209.0
-1639	116324.0	115458.0
-1638	116464.0	116239.0
-1637	116307.0	115992.0
-1636	116445.0	115528.0
-1635	116665.0	115397.0
-1634	116464.0	115113.0
-1633	116833.0	115437.0
-1632	116604.0	115887.0
-1631	116651.0	115711.0
-1630	116949.0	116167.0
-1629	115453.0	116233.0
-1628	116862.0	115428.0
-1627	116593.0	115407.0
-1626	116772.0	115369.0
-1625	116382.0	115827.0
-1624	116469.0	115597.0
-1623	116136.0	115694.0
-1622	116781.0	115389.0
-1621	116470.0	115670.0
-1620	116739.0	115603.0
-1619	116532.0	115951.0
-1618	116709.0	115362.0
-1617	116533.0	115447.0
-1616	116747.0	115614.0
-1615	116559.0	115772.0
-1614	117034.0	116102.0
-1613	117248.0	115318.0
-1612	116550.0	115498.0
-1611	116303.0	116156.0
-1610	116844.0	115811.0
-1609	116172.0	115517.0
-1608	116378.0	115796.0
-1607	116526.0	115798.0
-1606	116976.0	115413.0
-1605	116628.0	115843.0
-1604	115900.0	115413.0
-1603	116272.0	116165.0
-1602	116689.0	115717.0
-1601	116901.0	115706.0
-1600	116677.0	115277.0
-1599	116745.0	115648.0
-1598	117303.0	115786.0
-1597	116821.0	115324.0
-1596	116442.0	115730.0
-1595	117019.0	115630.0
-1594	116780.0	115974.0
-1593	117103.0	115039.0
-1592	116748.0	115888.0
-1591	116584.0	116075.0
-1590	116720.0	115992.0
-1589	116539.0	116278.0
-1588	116878.0	115784.0
-1587	117226.0	116204.0
-1586	117121.0	115903.0
-1585	116788.0	115484.0
-1584	116684.0	115851.0
-1583	117066.0	115175.0
-1582	116878.0	115850.0
-1581	116372.0	115966.0
-1580	117184.0	116135.0
-1579	116210.0	116031.0
-1578	117086.0	115004.0
-1577	116377.0	116242.0
-1576	116815.0	115676.0
-1575	116681.0	115653.0
-1574	117136.0	115933.0
-1573	117130.0	115747.0
-1572	117558.0	115541.0
-1571	116663.0	116275.0
-1570	116664.0	115908.0
-1569	116954.0	116072.0
-1568	117227.0	115578.0
-1567	116765.0	115729.0
-1566	116901.0	115541.0
-1565	117578.0	116079.0
-1564	116878.0	116127.0
-1563	117228.0	116024.0
-1562	116892.0	115690.0
-1561	117401.0	115980.0
-1560	117349.0	115508.0
-1559	117267.0	116115.0
-1558	116668.0	116272.0
-1557	116877.0	116001.0
-1556	116896.0	115948.0
-1555	117199.0	115899.0
-1554	116960.0	115865.0
-1553	117294.0	115847.0
-1552	117667.0	116176.0
-1551	117226.0	115892.0
-1550	117877.0	115992.0
-1549	117262.0	115770.0
-1548	115975.0	115748.0
-1547	116649.0	116086.0
-1546	117518.0	115324.0
-1545	117777.0	116012.0
-1544	117185.0	115592.0
-1543	116482.0	115574.0
-1542	116889.0	115809.0
-1541	117735.0	115941.0
-1540	117258.0	115943.0
-1539	116653.0	115487.0
-1538	116683.0	116121.0
-1537	117610.0	116313.0
-1536	117240.0	116442.0
-1535	117564.0	116594.0
-1534	116557.0	116071.0
-1533	117522.0	115952.0
-1532	116786.0	116720.0
-1531	117208.0	115770.0
-1530	117616.0	115739.0
-1529	117085.0	116397.0
-1528	117833.0	116536.0
-1527	117181.0	116730.0
-1526	117430.0	116239.0
-1525	117211.0	116024.0
-1524	117008.0	116192.0
-1523	117236.0	116057.0
-1522	117180.0	116598.0
-1521	117304.0	116179.0
-1520	117144.0	116659.0
-1519	116768.0	115893.0
-1518	116941.0	116362.0
-1517	116768.0	116673.0
-1516	117355.0	116324.0
-1515	116821.0	116018.0
-1514	117673.0	115689.0
-1513	117440.0	115776.0
-1512	116865.0	116461.0
-1511	117570.0	116906.0
-1510	117247.0	116870.0
-1509	117027.0	116549.0
-1508	117692.0	116125.0
-1507	116641.0	115863.0
-1506	117318.0	116202.0
-1505	117479.0	116188.0
-1504	117957.0	116006.0
-1503	117112.0	116782.0
-1502	116961.0	116592.0
-1501	117798.0	116786.0
-1500	117965.0	116001.0
-1499	117338.0	116742.0
-1498	117469.0	116582.0
-1497	117808.0	116456.0
-1496	117349.0	116047.0
-1495	117212.0	116015.0
-1494	117453.0	116552.0
-1493	117415.0	116089.0
-1492	117071.0	115831.0
-1491	117470.0	116669.0
-1490	116953.0	116675.0
-1489	117873.0	116634.0
-1488	117184.0	116505.0
-1487	117701.0	116375.0
-1486	117683.0	116436.0
-1485	117744.0	116968.0
-1484	117849.0	116661.0
-1483	117965.0	116597.0
-1482	117721.0	116258.0
-1481	117875.0	116681.0
-1480	118161.0	116333.0
-1479	117349.0	116943.0
-1478	117467.0	116896.0
-1477	117658.0	116176.0
-1476	117966.0	116584.0
-1475	117928.0	116356.0
-1474	117965.0	116799.0
-1473	117489.0	116247.0
-1472	117868.0	116224.0
-1471	117600.0	116419.0
-1470	117541.0	116848.0
-1469	118180.0	116567.0
-1468	117561.0	116963.0
-1467	117387.0	116190.0
-1466	117836.0	116294.0
-1465	117709.0	116655.0
-1464	117596.0	116394.0
-1463	117496.0	117035.0
-1462	118370.0	116272.0
-1461	117409.0	116943.0
-1460	117135.0	117027.0
-1459	117406.0	116800.0
-1458	118732.0	116741.0
-1457	117375.0	116226.0
-1456	118238.0	116673.0
-1455	117694.0	116473.0
-1454	117414.0	116355.0
-1453	117839.0	116111.0
-1452	117499.0	116914.0
-1451	118072.0	116807.0
-1450	118061.0	116482.0
-1449	117814.0	117092.0
-1448	117393.0	116101.0
-1447	117591.0	116945.0
-1446	117478.0	116203.0
-1445	117595.0	116607.0
-1444	117893.0	117030.0
-1443	117627.0	116446.0
-1442	118011.0	117126.0
-1441	117545.0	116781.0
-1440	118041.0	117099.0
-1439	117918.0	116925.0
-1438	118206.0	116977.0
-1437	117561.0	116800.0
-1436	117549.0	116401.0
-1435	117801.0	116933.0
-1434	117517.0	116419.0
-1433	117533.0	116486.0
-1432	117814.0	116612.0
-1431	117626.0	116476.0
-1430	117893.0	116780.0
-1429	117843.0	117175.0
-1428	118264.0	117240.0
-1427	117443.0	116894.0
-1426	117811.0	117053.0
-1425	117810.0	117030.0
-1424	117467.0	117265.0
-1423	118275.0	116887.0
-1422	117784.0	116881.0
-1421	118539.0	117225.0
-1420	117571.0	116975.0
-1419	116932.0	117280.0
-1418	117821.0	116977.0
-1417	118216.0	117230.0
-1416	117482.0	116887.0
-1415	118678.0	117364.0
-1414	118655.0	117222.0
-1413	117419.0	116693.0
-1412	118185.0	117102.0
-1411	118367.0	116641.0
-1410	118357.0	116447.0
-1409	117694.0	116499.0
-1408	118052.0	117256.0
-1407	117856.0	116986.0
-1406	118437.0	116294.0
-1405	117900.0	117832.0
-1404	118099.0	117056.0
-1403	117897.0	116803.0
-1402	117470.0	117513.0
-1401	117634.0	117226.0
-1400	118311.0	117335.0
-1399	118162.0	116701.0
-1398	118365.0	117331.0
-1397	118248.0	117065.0
-1396	117710.0	116817.0
-1395	118129.0	117212.0
-1394	117981.0	117269.0
-1393	118777.0	117362.0
-1392	118102.0	116646.0
-1391	117765.0	116483.0
-1390	118684.0	117280.0
-1389	117471.0	117250.0
-1388	117762.0	117117.0
-1387	118220.0	117255.0
-1386	117889.0	116849.0
-1385	118490.0	117100.0
-1384	117877.0	116576.0
-1383	117715.0	117041.0
-1382	117223.0	117604.0
-1381	117957.0	117519.0
-1380	118158.0	117096.0
-1379	118659.0	117316.0
-1378	117786.0	117358.0
-1377	118060.0	118030.0
-1376	117875.0	117309.0
-1375	118173.0	117636.0
-1374	117855.0	116949.0
-1373	118082.0	117247.0
-1372	118343.0	117454.0
-1371	118112.0	117818.0
-1370	117890.0	117400.0
-1369	118227.0	117583.0
-1368	117998.0	117277.0
-1367	118664.0	117392.0
-1366	117941.0	117203.0
-1365	118015.0	117396.0
-1364	117896.0	116718.0
-1363	118120.0	117877.0
-1362	117707.0	116735.0
-1361	118647.0	117612.0
-1360	118434.0	116840.0
-1359	118492.0	117187.0
-1358	118596.0	117723.0
-1357	118499.0	116961.0
-1356	117874.0	117362.0
-1355	118203.0	116858.0
-1354	118423.0	117362.0
-1353	117887.0	117594.0
-1352	118289.0	118034.0
-1351	118821.0	117722.0
-1350	118183.0	117457.0
-1349	118065.0	117219.0
-1348	118290.0	117176.0
-1347	118290.0	117298.0
-1346	118571.0	117649.0
-1345	118424.0	117109.0
-1344	118769.0	116833.0
-1343	119137.0	117493.0
-1342	118550.0	116842.0
-1341	118441.0	117814.0
-1340	118662.0	117334.0
-1339	119012.0	117512.0
-1338	118269.0	117127.0
-1337	118543.0	117487.0
-1336	118264.0	117448.0
-1335	118745.0	117613.0
-1334	118864.0	117554.0
-1333	118322.0	117237.0
-1332	118691.0	117271.0
-1331	118894.0	117375.0
-1330	118546.0	117389.0
-1329	118639.0	117754.0
-1328	118862.0	118015.0
-1327	118088.0	117733.0
-1326	118950.0	117704.0
-1325	118685.0	117017.0
-1324	119153.0	117408.0
-1323	118477.0	117748.0
-1322	118863.0	117030.0
-1321	118416.0	117856.0
-1320	118750.0	117890.0
-1319	118330.0	117377.0
-1318	119062.0	117255.0
-1317	119042.0	117438.0
-1316	118440.0	117268.0
-1315	118739.0	117389.0
-1314	118252.0	117760.0
-1313	118811.0	117132.0
-1312	118515.0	117852.0
-1311	117989.0	117672.0
-1310	119096.0	118137.0
-1309	118607.0	117357.0
-1308	118357.0	117555.0
-1307	119393.0	117368.0
-1306	119125.0	117524.0
-1305	118913.0	117194.0
-1304	118673.0	117728.0
-1303	118689.0	118121.0
-1302	119490.0	117636.0
-1301	118833.0	117883.0
-1300	118410.0	117283.0
-1299	118744.0	117710.0
-1298	118957.0	117753.0
-1297	118260.0	117615.0
-1296	119120.0	117526.0
-1295	119037.0	118211.0
-1294	119241.0	117309.0
-1293	118853.0	117691.0
-1292	118769.0	117998.0
-1291	118946.0	117889.0
-1290	119067.0	118040.0
-1289	118650.0	117655.0
-1288	119018.0	118021.0
-1287	118593.0	117668.0
-1286	118069.0	118349.0
-1285	118093.0	117491.0
-1284	118828.0	117816.0
-1283	119521.0	118014.0
-1282	119198.0	117622.0
-1281	118759.0	117865.0
-1280	118745.0	117481.0
-1279	118747.0	117496.0
-1278	118773.0	117329.0
-1277	118637.0	117937.0
-1276	118674.0	117776.0
-1275	118539.0	118788.0
-1274	119292.0	117874.0
-1273	119169.0	117174.0
-1272	118933.0	117804.0
-1271	119214.0	117224.0
-1270	118881.0	117533.0
-1269	118638.0	117903.0
-1268	119016.0	118281.0
-1267	119019.0	118150.0
-1266	118395.0	117845.0
-1265	118795.0	117026.0
-1264	118976.0	117769.0
-1263	119179.0	118229.0
-1262	119306.0	118452.0
-1261	119269.0	117793.0
-1260	119114.0	118274.0
-1259	119538.0	117885.0
-1258	118720.0	117681.0
-1257	118778.0	118188.0
-1256	119273.0	117239.0
-1255	119274.0	118272.0
-1254	119660.0	118526.0
-1253	119393.0	117698.0
-1252	119038.0	117759.0
-1251	118912.0	117517.0
-1250	119401.0	118335.0
-1249	118781.0	118931.0
-1248	119001.0	118500.0
-1247	119161.0	118438.0
-1246	119801.0	117486.0
-1245	119419.0	118330.0
-1244	119247.0	117972.0
-1243	119166.0	117728.0
-1242	119043.0	117755.0
-1241	119107.0	118058.0
-1240	119584.0	118222.0
-1239	118953.0	118510.0
-1238	119972.0	118949.0
-1237	119041.0	118365.0
-1236	119395.0	118095.0
-1235	119459.0	117651.0
-1234	119157.0	117909.0
-1233	118969.0	118514.0
-1232	118887.0	118071.0
-1231	119146.0	119197.0
-1230	119381.0	118274.0
-1229	119216.0	118296.0
-1228	119415.0	118061.0
-1227	119465.0	118148.0
-1226	119297.0	118402.0
-1225	119794.0	118186.0
